 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
741011,'https://d2cc5bro5bu049.cloudfront.net/15264/6984715/tile.jpg',43.071149,-89.389764,1695,, '3 BR',418 W. Washington Avenue,6082571000,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes
741639,'https://d2cc5bro5bu049.cloudfront.net/12367/9058745/tile.jpg',43.070909,-89.407528,725,, '1 BR',136 N Orchard St,6082413906,yes,no,no,no,yes,no,no,no,yes,yes,yes
744653,'https://d2cc5bro5bu049.cloudfront.net/18156/24852375/tile.jpg',43.058482,-89.440538,2000,, '4 BR',3902 Birch Ave,6084439820,no,no,no,no,no,no,no,no,no,no,no
745679,'https://d2cc5bro5bu049.cloudfront.net/14019/21449483/tile.jpg',43.084863,-89.474841,450,, '1 BR',5509 Greening Ln,6084438937,no,no,no,no,no,no,no,no,no,no,no
745903,'https://d2cc5bro5bu049.cloudfront.net/16972/6343100/tile.jpg',43.087615,-89.371311,795,1295, '1 - 3 BR',1135 E Johnson St Apt A-c,6086953937,no,no,no,no,no,no,no,yes,no,no,no
742229,'https://d2cc5bro5bu049.cloudfront.net/14552/26390970/tile.jpeg',43.069816,-89.415274,3300,, '5 BR',106 Lathrop St.,6082253992,no,no,no,no,yes,no,no,yes,yes,yes,yes
760858,'https://d2cc5bro5bu049.cloudfront.net/19690/7047976/tile.jpg',43.076935,-89.390207,1000,1350, '2 BR',The Elms,6082552234,no,no,no,no,yes,no,yes,yes,no,no,yes
760664,'https://d2cc5bro5bu049.cloudfront.net/19664/26033143/tile.png',43.069477,-89.390176,450,2700, '5 - 6 BR',18 S Bassett St,6084806354,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
761839,'https://d2cc5bro5bu049.cloudfront.net/19639/17376220/tile.jpg',43.072388,-89.422622,850,1350, 'Studio - 2 BR',University Gables,6082415777,yes,no,no,no,yes,no,no,yes,no,yes,yes
766038,'https://d2cc5bro5bu049.cloudfront.net/19498/6418697/tile.jpg',43.079502,-89.382833,1675,, '3 BR',401 E Johnson St,6085757744,no,no,no,yes,yes,no,no,yes,no,no,no
766440,'https://d2cc5bro5bu049.cloudfront.net/19681/24549867/tile.jpg',43.069744,-89.416244,600,, '3 BR',1718 Van Hise Ave,6086988784,no,no,no,no,yes,no,no,yes,yes,yes,yes
767690,'https://d2cc5bro5bu049.cloudfront.net/19664/25319486/tile.jpg',43.067145,-89.409228,3600,, '6 BR',14 S Randall Ave,6082560525,yes,no,no,no,yes,no,no,yes,no,yes,yes
763316,'https://d2cc5bro5bu049.cloudfront.net/19629/28372354/tile.jpg',43.072854,-89.436627,1195,1295, '2 BR',510 N Franklin Ave,6087729411,no,no,no,no,no,no,no,yes,no,no,yes
765490,'https://d2cc5bro5bu049.cloudfront.net/19798/24726363/tile.jpg',43.068563,-89.387510,1188,, '2 BR',Jacobsen Shoff Apartments,6082381507,yes,no,no,yes,yes,no,no,yes,no,no,yes
1878441,'https://d2cc5bro5bu049.cloudfront.net/68034/15958652/tile.jpeg',43.042460,-89.473143,900,, '1 BR',1105 Gilbert Rd,6082172470,no,no,no,no,yes,no,no,yes,no,no,no
3225042,'https://d2cc5bro5bu049.cloudfront.net/77781/27420542/tile.jpeg',43.068872,-89.403799,2850,2950, '5 BR',35 North Mills St.,6082429111,yes,no,no,yes,yes,no,no,yes,no,yes,yes
