Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.3861792,43.07495636,6662,1310,1310,W Mifflin & N Carroll (WB),This stop (#1310) is westbound on the 98 block of Mifflin St (w) nearside Carroll St (n),43.074954,-89.38618,"2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 29, 37, 47, 56, 57, 58, 70, 71, 72",W Mifflin,98,N Carroll
-89.34832614,43.10053642,6663,1311,1311,E Washington & Milwaukee (EB),This stop (#1311) is eastbound on the 2601 block of E Washington Ave farside Milwaukee St,43.100534,-89.348327,"4, 6, 25",E Washington,2601,Milwaukee
-89.35251114,43.10145242,6664,1319,1319,E Johnson & N Seventh (EB),This stop (#1319) is eastbound on the 2499 block of Johnson St (e) nearside Seventh St (n),43.10145,-89.352512,"5, 10, 27",E Johnson,2499,N Seventh
-89.3814742,43.07633337,6665,1323,1323,E Washington & S Webster (EB),This stop (#1323) is eastbound on the 201 block of E Washington Ave farside Webster St (s),43.076331,-89.381475,"6, 14, 15, 25, 27, 29, 37, 56, 57",E Washington,201,S Webster
-89.3861792,43.07448136,6666,1324,1324,N Carroll & W Mifflin (SB),This stop (#1324) is southbound on the 98 block of Carroll St (n) farside Mifflin St (w),43.074479,-89.38618,"1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 14, 15, 19, 27, 29, 37, 47, 56, 57, 58, 70, 71, 72, 75",N Carroll,98,W Mifflin
-89.36874816,43.08962439,6667,1325,1325,E Johnson & N Baldwin (EB),This stop (#1325) is eastbound on the 1301 block of Johnson St (e) farside Baldwin St (n),43.089622,-89.368749,"2, 5, 10, 27, 28",E Johnson,1301,N Baldwin
-89.34516912,43.10690043,6668,1326,1326,Commercial & North Lawn (WB),This stop (#1326) is westbound on the 2800 block of Commercial Ave nearside North Lawn Ave,43.106898,-89.34517,4,Commercial,2800,North Lawn
-89.36800114,43.09709939,6669,1329,1329,Sherman & Sherman (EB),This stop (#1329) is eastbound on the 1659 block of Sherman Ave farside Sherman Ter,43.097097,-89.368002,2,Sherman,1659,Sherman
-89.36362116,43.0931314,6670,1333,1333,E Johnson & Fordem (EB),This stop (#1333) is eastbound on the 1699 block of Johnson St (e) nearside Fordem Ave,43.093129,-89.363622,"5, 10, 27",E Johnson,1699,Fordem
-89.3636521,43.11409141,6671,1341,1341,N Sherman & Aberg (NB),This stop (#1341) is northbound on the 1299 block of Sherman Ave (n) nearside Aberg Ave,43.114089,-89.363653,22,N Sherman,1299,Aberg
-89.35241915,43.09532841,6672,1343,1343,Winnebago & S Fourth (NB),This stop (#1343) is northbound on the 2201 block of Winnebago St farside Fourth St (s),43.095326,-89.35242,"4, 10",Winnebago,2201,S Fourth
-89.36005316,43.0919834,6673,1350,1350,E Washington & N First (WB),This stop (#1350) is westbound on the 1898 block of E Washington Ave farside First St (n),43.091981,-89.360054,"6, 14, 15, 25, 27, 29, 37, 56, 57",E Washington,1898,N First
